"ID","Treatment","Coefficient","CI_low","CI_high"
"F59766","Control",0.742216450799938,0.422591801020631,1.06184110057924
"F59767","Control",-1.3197032211053,-2.19229310125076,-0.447113340959829
"F59768","Control",1.48928287899746,1.25155996427639,1.72700579371853
"F59770","Control",3.06897950682183,2.78296776657734,3.35499124706632
"F59772","Control",1.24783205348161,0.997752688621106,1.49791141834211
"F59773","Control",-0.737234578872422,-1.6516165469086,0.177147389163752
"F59774","Control",-1.24840769032788,-2.45393811042949,-0.0428772702262632
"F59775","Control",-0.436924983473311,-1.00976232209194,0.135912355145322
"F59776","Control",0.379824306235449,-1.02713928243067,1.78678789490156
"F59777","Control",1.35204529747757,1.08491348565325,1.61917710930189
"F59779","Control",0.467805882378231,0.0269229363247827,0.908688828431679
"F59780","Control",-1.26418881727085,-2.1553544511641,-0.373023183377596
"F59781","Control",0.42623122195527,-0.268130829271332,1.12059327318187
"F59782","Control",0.753252591082214,0.427355248071952,1.07914993409248
"F59783","Control",-0.509146985903447,-2.90502465721916,1.88673068541227
"F59800","Exposed",0.633596443664945,0.309236343734497,0.957956543595392
"F59802","Exposed",-0.108074752798688,-0.623896903908548,0.407747398311171
"F59803","Exposed",-1.85814554328633,-5.53527906746997,1.81898798089731
"F59804","Exposed",1.21445297854245,0.919576541673326,1.50932941541157
"F59805","Exposed",0.649064128760337,0.254274455797001,1.04385380172367
"F59807","Exposed",-1.06756570229839,-2.79956808655981,0.664436681963039
"F59808","Exposed",0.198317741397688,-0.210747343453017,0.607382826248393
"F59809","Exposed",2.00424008765156,1.70031918116743,2.3081609941357
"F59810","Exposed",0.931630372100481,-0.246612617345537,2.1098733615465
"F59811","Exposed",-1.2588460796137,-2.1284908294829,-0.389201329744501
"F59812","Exposed",1.57503038321022,1.34674538899701,1.80331537742344
"F59813","Exposed",-1.59144163607612,-2.61187565167763,-0.571007620474603
"F59814","Exposed",-0.499651604422307,-1.1477965034915,0.148493294646882
"F59815","Exposed",2.8393564023561,2.66292562833142,3.01578717638077
"F59816","Exposed",-1.06956870905003,-2.344593612836,0.205456194735937
