id,species,treatment,est,se,low,high,p
F59749,Perch,Control,0.7784816827763547,0.2704586674384269,0.24839243529034227,1.3085709302623671,0.003997286483443123
F59750,Perch,Control,-1.5597763306801564,0.4655093969473895,-2.4721579831619995,-0.6473946781983134,8.061133250629782e-4
F59751,Perch,Control,-1.0158937994792225,0.3012793837921631,-1.6063905409962826,-0.42539705796216243,7.46426914474479e-4
F59752,Perch,Control,-1.5828130344867961,0.5508137288618857,-2.6623881052463023,-0.5032379637272899,0.004058349362628373
F59753,Perch,Control,0.6937635549045263,0.5793018257622099,-0.4416471597677024,1.8291742695767552,0.2310783644499093
F59754,Perch,Control,0.8307504051513132,0.27255911176441777,0.29654436243482707,1.3649564478677991,0.002303974014623708
F59755,Perch,Control,0.8509976440249943,0.26299563989658437,0.33553566173662375,1.366459626313365,0.0012130823706702416
F59756,Perch,Control,0.6690578274042848,0.28532822175208233,0.10982478899734549,1.228290865811224,0.019033671811299235
F59757,Perch,Control,1.8182446524453768,0.6734587014008039,0.49828985262468706,3.1381994522660666,0.006936852308119169
F59758,Perch,Control,0.8863791216034008,0.2190908846470608,0.45696887835414224,1.3157893648526593,5.21638242701061e-5
F59760,Perch,Control,-0.9393079224114446,0.2820864446303207,-1.492187194413825,-0.38642865040906405,8.689015380726106e-4
F59762,Perch,Control,-1.532974703225893,0.36065323053967235,-2.2398420459916717,-0.8261073604601141,2.1324592215158844e-5
F59763,Perch,Control,-1.3772464226277727,0.32408139723913587,-2.0124342892758973,-0.7420585559796481,2.1406376593342277e-5
F59764,Perch,Control,1.3568457746714302,0.454488858407683,0.46606398081764755,2.2476275685252127,0.0028317769723427175
F59765,Perch,Control,0.8138209548547024,0.21689058361148414,0.3887232223903203,1.2389186873190845,1.7527628944394272e-4
F59784,Perch,Exposed,-0.6546720417683008,0.4081701559334013,-1.454670846961865,0.1453267634252633,0.1087318144869309
F59785,Perch,Exposed,0.36189206110193567,0.5189149574839079,-0.6551625666056571,1.3789466888095283,0.4855515734782409
F59786,Perch,Exposed,0.3357129664282837,0.21843573531643604,-0.0924132077284548,0.7638391405850222,0.12431882567219105
F59787,Perch,Exposed,-1.0477110717709885,0.30753573610671897,-1.6504700384991717,-0.44495210504280525,6.573058255932885e-4
F59789,Perch,Exposed,0.9869497805366813,0.271671727180603,0.45448297964490825,1.5194165814284544,2.8027939663530737e-4
F59790,Perch,Exposed,1.4216322042931717,0.3029050709992149,0.8279491744001627,2.015315234186181,2.687988033394483e-6
F59791,Perch,Exposed,-2.8150101626859905,0.3267939077027292,-3.455514452150446,-2.174505873221535,7.054067252669284e-18
F59792,Perch,Exposed,-1.6735900456105441,0.436073845647187,-2.528279077678909,-0.8189010135421793,1.2411157898774552e-4
F59793,Perch,Exposed,0.027229266975933537,0.2494354090520159,-0.4616551512350337,0.5161136851869008,0.9130727314920227
F59794,Perch,Exposed,1.254801560795489,0.3763783263561476,0.5171135965759772,1.9924895250150008,8.564246378128592e-4
F59795,Perch,Exposed,-0.09592619351610056,0.25798417216718567,-0.6015658795451649,0.40971349251296385,0.7100196025234746
F59796,Perch,Exposed,-0.21313804329280367,0.26125117957491245,-0.7251809461782381,0.29890485959263086,0.41459410244911166
F59797,Perch,Exposed,1.596552895022022,0.33983765774895713,0.930483325243617,2.262622464800427,2.6273816254524056e-6
F59799,Perch,Exposed,-1.1298442934663797,0.286039382564225,-1.690471181452335,-0.5692174054804245,7.816405618798713e-5
F59801,Perch,Exposed,1.6488459350455746,0.38446047269256545,0.8953172550889016,2.402374615002248,1.7970023929018403e-5
