FISH,LAB_ID,TREATMENT,SAMPLE_DATE,SPECIES,TISSUE,SAMPLE_WEIGHT,VENLA_ng_g,DESVENLA_ng_g,FLX_ng_g,SERTRA_ng_g,NOSERTRA_ng_g
25,59,Exposed,3/10/2022,Roach,B,0.095,1.3,<LOQ,12.4,11.5,14
26,60,Exposed,10/10/2022,Perch,M,0.116,1.2,<LOQ,1.7,1.1,1.1
26,61,Exposed,10/10/2022,Perch,L,0.118,36.5,<LOQ,57.7,15,10.3
26,62,Exposed,10/10/2022,Perch,B,0.176,7.8,0.1,23.9,21.5,21.6
27,63,Exposed,10/10/2022,Perch,M,0.12,2.9,<LOQ,2.9,1.8,1.7
27,64,Exposed,10/10/2022,Perch,L,0.09,31.5,0.3,60.2,25.9,24.6
27,65,Exposed,10/10/2022,Perch,B,0.11,12.1,<LOQ,31.2,25.5,27.2
28,66,Exposed,10/10/2022,Perch,M,0.108,2.7,<LOQ,1.3,1.1,1.1
28,67,Exposed,10/10/2022,Perch,L,0.116,26.9,0.4,30.4,12,9.4
28,68,Exposed,10/10/2022,Perch,B,0.116,15.4,<LOQ,14,13.8,16.2
29,69,Exposed,10/10/2022,Perch,M,0.125,2.3,<LOQ,0.7,0.7,0.7
29,70,Exposed,10/10/2022,Perch,L,0.098,7.8,0.2,13.4,7.5,7.1
29,71,Exposed,10/10/2022,Perch,B,0.168,8,0.1,9.7,15.8,16.5
30,72,Exposed,10/10/2022,Perch,M,0.128,4.5,<LOQ,2,1.2,1.3
30,73,Exposed,10/10/2022,Perch,L,0.113,29.6,0.4,68.9,22.4,19.9
30,74,Exposed,10/10/2022,Perch,B,0.145,13.3,<LOQ,24.2,22.1,24.7
31,75,Exposed,26/9/2022,Pike,M,0.12,1.5,<LOQ,1.7,1.5,1.2
31,76,Exposed,26/9/2022,Pike,L,0.122,29.5,<LOQ,46,27.7,29.2
31,77,Exposed,26/9/2022,Pike,B,0.117,7.5,<LOQ,17.4,19,18
32,78,Exposed,26/9/2022,Pike,M,0.095,0.3,<LOQ,<LOQ,<LOQ,<LOQ
32,79,Exposed,26/9/2022,Pike,L,0.116,0.8,<LOQ,<LOQ,0.7,<LOQ
32,80,Exposed,26/9/2022,Pike,B,0.169,0.8,<LOQ,0.2,<LOQ,<LOQ
33,83,Exposed,26/9/2022,Roach,M,0.103,5.6,<LOQ,2.8,3,2.4
33,84,Exposed,26/9/2022,Roach,B,0.1,8,0.1,15,27.9,25
34,85,Exposed,26/9/2022,Roach,M,0.092,1.6,<LOQ,1.1,1.2,0.9
