id,species,treatment,est,se,low,high,p
F59747,Perch,Control,-0.7977524706881239,0.13179128183234182,-1.0560586365558817,-0.5394463048203662,1.4203999990261743e-9
F59838,Perch,Exposed,-1.618938309512302,0.14796199928754641,-1.908938499196434,-1.32893811982817,7.2916517326893715e-28
F59839,Perch,Exposed,-1.539136947278827,0.10513703806086243,-1.7452017553193342,-1.3330721392383198,1.5758832280007285e-48
F59840,Perch,Exposed,-1.3279538656097998,0.17835668782061553,-1.6775265501400598,-0.9783811810795398,9.65814327274055e-14
F59841,Perch,Exposed,-0.9396297422709529,0.222446026650886,-1.3756159430107264,-0.5036435415311793,2.399191566643738e-5
F59842,Perch,Exposed,-0.5436031600031695,0.15512851288426557,-0.8476494582315878,-0.23955686177475133,4.5796102640829667e-4
F59843,Perch,Exposed,-1.5193892994654863,0.24733233957692938,-2.0041517772482984,-1.0346268216826742,8.092216849402758e-10
F59844,Perch,Exposed,0.13164012811685133,0.16294372034810042,-0.1877236952723918,0.45100395150609446,0.41915558365390215
F59845,Perch,Exposed,-2.065559300947231,0.18233515920976384,-2.4229296461137446,-1.7081889557807173,9.496039231989233e-30
F59846,Perch,Exposed,-1.0600966927918973,0.20241392158663096,-1.4568206890712085,-0.6633726965125861,1.6296774222785575e-7
F59847,Perch,Exposed,-0.4550554048037055,0.34462045435525057,-1.130499083675826,0.22038827406841505,0.1866835355279923
F59848,Perch,Exposed,-0.9363744846694566,0.19787263624105972,-1.3241977252279287,-0.5485512441109845,2.220905898169565e-6
F59849,Perch,Exposed,-0.7687924491120401,0.25269580819958604,-1.26406713222747,-0.2735177659966104,0.0023472841726487584
F59850,Perch,Exposed,-1.2744970892595415,0.16237683504948797,-1.592749837880139,-0.956244340638944,4.19340627723573e-15
F59851,Perch,Exposed,-0.7570689034883161,0.35885283990016303,-1.4604075454425536,-0.05373026153407867,0.034884908924444284
F59852,Perch,Exposed,-0.37367194990690983,0.18003230493429193,-0.7265287836318546,-0.020815116181965077,0.03793255649561827
F59854,Perch,Exposed,-0.08567041996026625,0.17351285837822492,-0.425749373236186,0.2544085333156535,0.621489074107862
F59855,Perch,Exposed,-1.9754623254914134,0.13301704673691278,-2.2361709464256436,-1.7147537045571832,6.833776630869867e-50
F59856,Perch,Exposed,-0.6873342185620707,0.1671683150129946,-1.0149780953437864,-0.3596903417803549,3.928759692978289e-5
F59857,Perch,Exposed,-1.141844021423708,0.21153056610129908,-1.5564363126116234,-0.7272517302357926,6.738427186126569e-8
F59858,Perch,Control,-0.49289537635683084,0.17996873119279178,-0.8456276078380729,-0.14016314487558884,0.006166698323055692
F59859,Perch,Control,-0.9090897768847503,0.16105756663771065,-1.224756806932323,-0.5934227468371778,1.6565993709994744e-8
F59860,Perch,Control,-2.7801099614008122,0.1746340764751401,-3.1223864617655,-2.4378334610361243,4.631040392080094e-57
F59861,Perch,Control,-2.6129417693480415,0.15344041060063685,-2.9136794478983274,-2.3122040907977555,5.002428508998432e-65
F59862,Perch,Control,-2.553099546002167,0.1355333591749415,-2.8187400486887837,-2.2874590433155504,3.7265711781279704e-79
F59864,Perch,Control,0.24638274660739864,0.13141767802829007,-0.011191169259930606,0.5039566624747279,0.06081931762499957
F59865,Perch,Control,-0.8580435286255386,0.11838468969204646,-1.0900732567428997,-0.6260138005081773,4.232001685241833e-13
F59866,Perch,Control,0.11742820499271935,0.1522813688814617,-0.1810377935314041,0.41589420351684275,0.4406319312514101
F59868,Perch,Control,-1.616357026893754,0.15455061031952066,-1.9192706569086988,-1.313443396878809,1.3405587849532318e-25
F59869,Perch,Control,-0.49376443778945356,0.19279126771834265,-0.8716283790512247,-0.11590049652768247,0.010433084618652695
F59870,Perch,Control,-0.9278897491862536,0.1961015210907866,-1.312241667837717,-0.5435378305347901,2.226686615680642e-6
F59871,Perch,Control,-0.8891663205642257,0.15267703135454513,-1.1884078032856267,-0.5899248378428248,5.751127296962162e-9
F59872,Perch,Control,-1.0121084865276435,0.15616000541679886,-1.318176472970149,-0.7060405000851381,9.097950183578661e-11
F59874,Perch,Control,-0.9609768665668921,0.10641002643506291,-1.1695366859735703,-0.7524170471602137,1.7028670417221481e-19
F59875,Perch,Control,0.3766278481053371,0.16775420909614044,0.04783564002190038,0.7054200561887738,0.024760614336115348
F59877,Perch,Control,-0.008266495200869474,0.19739174369500567,-0.3951472036886418,0.37861421328690287,0.9665954546560682
F59879,Perch,Control,-0.5905962735580851,0.21275214306490164,-1.0075828115990053,-0.1736097355171649,0.005503513280735041
