"ID","Treatment","Coefficient","CI_low","CI_high","CI_width","Issue"
"F59749","Control",4.92618464036893,4.62658906650067,5.22578021423719,0.599191147736516,""
"F59750","Control",4.7631256295025,4.27839055909442,5.24786069991057,0.969470140816144,""
"F59751","Control",4.71595222975758,4.3293927807348,5.10251167878036,0.77311889804556,""
"F59752","Control",3.74894819536407,3.27321229303799,4.22468409769015,0.951471804652157,""
"F59753","Control",-1.34738754411524,-6.9835760889148,4.28880100068431,11.2723770895991," CI crosses zero"
"F59754","Control",3.14812305049716,2.81366397581348,3.48258212518083,0.66891814936735,""
"F59755","Control",0.557255424442831,-0.196973556135328,1.31148440502099,1.50845796115632," CI crosses zero"
"F59756","Control",0.302615048125628,-0.679902532260214,1.28513262851147,1.96503516077168," CI crosses zero"
"F59757","Control",3.62029454025535,3.02725335061142,4.21333572989927,1.18608237928784,""
"F59758","Control",-2.22322033647993,-5.4750980869188,1.02865741395895,6.50375550087775," CI crosses zero"
"F59760","Control",-1.28176488744817,-4.2263701307888,1.66284035589247,5.88921048668127," CI crosses zero"
"F59762","Control",-0.494438437919443,-2.65354355766121,1.66466668182233,4.31821023948354," CI crosses zero"
"F59763","Control",1.02828955590478,-0.0148378348685188,2.07141694667808,2.0862547815466," CI crosses zero"
"F59764","Control",5.04114752236953,4.66590004179949,5.41639500293956,0.750494961140069,""
"F59765","Control",1.41998188695233,0.793821533522078,2.04614224038258,1.2523207068605,""
"F59784","Exposed",4.96156851754594,4.67197493096922,5.25116210412266,0.579187173153445,""
"F59785","Exposed",4.59936875242658,4.28318535422891,4.91555215062425,0.632366796395344,""
"F59786","Exposed",3.4549808272189,3.14147675307349,3.7684849013643,0.627008148290805,""
"F59787","Exposed",4.22978029900523,3.80315609984588,4.65640449816457,0.853248398318689,""
"F59789","Exposed",4.17351976884036,3.78295190451942,4.56408763316129,0.781135728641875,""
"F59790","Exposed",2.05387392562109,1.30392369188047,2.80382415936171,1.49990046748124,""
"F59791","Exposed",2.85791713537204,2.44180128783651,3.27403298290757,0.83223169507106,""
"F59792","Exposed",3.42601433068552,2.97936788616632,3.87266077520471,0.893292889038384,""
"F59793","Exposed",2.04312894603029,1.5338006618232,2.55245723023737,1.01865656841417,""
"F59794","Exposed",2.54298132284425,1.95245285509704,3.13350979059146,1.18105693549441,""
"F59795","Exposed",2.86722537649222,2.59914269482695,3.13530805815748,0.536165363330531,""
"F59796","Exposed",0.614690737656837,-0.104737745305701,1.33411922061937,1.43885696592508," CI crosses zero"
"F59797","Exposed",-0.8535693251264,-2.94662359276095,1.23948494250815,4.18610853526909," CI crosses zero"
"F59799","Exposed",-2.04455106021747,-3.85473895259708,-0.234363167837856,3.62037578475922,""
"F59801","Exposed",3.74792310331383,3.5388856060195,3.95696060060815,0.418074994588647,""
