Serial,StationName,Start,End,Latitude,Longitude,Depth,X,Y,Z
461366,St01,2022-09-10T12:00:00Z,2022-10-03T17:30:00Z,63.7719920866833,20.0632523484508,0.5,78.0653065854526,85.1837232362698,-0.5
461364,St02,2022-09-10T07:00:00Z,2022-10-31T03:00:00Z,63.7721463159069,20.0633650600928,0.5,83.6254694702734,102.376207817176,-0.5
461368,St03,2022-09-09T19:00:00Z,2022-10-31T06:30:00Z,63.772243165206,20.0637667507507,0.5,103.440779064162,113.172327209049,-0.5
461858,St04,2022-09-09T20:00:00Z,2022-10-31T06:30:00Z,63.7721980023543,20.0641389880222,0.5,121.803142591736,108.13792574288,-0.5
461860,St05,2022-09-09T18:00:00Z,2022-10-20T00:00:00Z,63.7720503298464,20.0636246054494,0.5,96.4287788878357,91.6762358669827,-0.5
