"Species","Group","Mean_m2","CI_Lower","CI_Upper","Spillover_pct"
"Pike","Control",1036.5033519916,945.700133961341,1131.40940744514,27.0803189340374
"Pike","Exposed",112.591117849726,102.949418795538,122.658219191599,NA
"Pike","Total",921.536514036303,390.227423281372,1677.19486679107,NA
"Perch","Control",785.719316703479,450.124068844115,1213.25885223421,14.598662240244
"Perch","Exposed",666.122376439414,310.566477371652,1155.03357670753,NA
"Perch","Total",670.562998143664,373.041563832847,1053.88434060039,NA
"Roach","Control",696.987710358541,483.191130032593,949.331968572615,0.161049467055016
"Roach","Exposed",638.007386128016,364.525886303771,986.774903414849,NA
"Roach","Total",682.271080541225,442.849387737712,972.60567931241,NA
