"Prey_ID","Pred_ID","Species","total_encounters_high_conf","total_encounters_probable","total_encounters_possible","min_distance","mean_distance","n_days","n_days_high_conf","n_days_probable"
"F59844","F59896","Perch",775,2856,4912,0.425078212607019,20.5477482618527,34,21,22
"F59861","F59897","Perch",756,5039,4393,0.513418668342334,18.6508241622985,34,17,23
"F59870","F59898","Perch",722,2589,2774,0.716849018437795,18.8000293921824,34,23,29
"F59862","F59895","Perch",718,2281,2644,0.618349001213764,22.8569509234495,33,18,25
"F59862","F59898","Perch",704,6045,5365,0.587904729454129,17.3894576653908,34,25,27
"F59874","F59895","Perch",704,2551,4268,0.520937896959735,21.381351098517,33,24,26
"F59878","F59897","Perch",700,2341,2207,0.989622097801773,20.7292134431644,24,8,14
"F59866","F59897","Perch",699,1414,4633,0.740479848705945,22.9597889851538,27,15,20
"F59869","F59896","Perch",668,2302,7031,0.54985965433818,18.0035322113119,33,20,22
"F59865","F59897","Perch",665,3525,5888,0.814987958691566,18.5824682931361,34,18,30
"F59852","F59896","Perch",660,4852,5179,0.503755530674483,17.4938187877284,30,15,19
"F59747","F59898","Perch",654,4366,5777,0.577730575735838,18.2542308046238,34,20,31
"F59852","F59897","Perch",648,2975,3289,0.5867168168696,19.9372839063453,30,18,22
"F59875","F59898","Perch",640,7342,6231,0.861637474707155,17.0950779884727,34,20,27
"F59871","F59896","Perch",633,2466,3522,0.571593127143441,19.1707022511067,34,14,20
"F59848","F59898","Perch",630,1850,5396,0.910307476759122,19.5783006019166,34,16,21
"F59866","F59896","Perch",624,3954,8300,0.545753340445547,18.9235244782026,27,22,23
"F59866","F59894","Perch",616,1867,2303,0.513006890647701,20.5442437309542,27,13,19
"F59839","F59897","Perch",574,3087,4103,0.846159680937708,20.3697131708671,34,26,31
"F59865","F59896","Perch",565,2737,4048,0.35656376543361,19.7927087477969,34,19,21
"F59877","F59896","Perch",560,1427,2527,0.673810141867596,20.0271571466516,34,11,15
"F59838","F59896","Perch",541,2431,3897,0.520602571429179,20.4563013614809,33,14,18
"F59860","F59895","Perch",538,1558,3192,0.71762092452351,22.8688207540449,33,17,27
"F59855","F59898","Perch",534,2353,3980,0.917579485491169,19.7021731060523,34,20,27
"F59841","F59897","Perch",531,871,2722,1.10990372260019,20.6324281787792,34,8,17
"F59872","F59897","Perch",507,1755,1894,0.831519251818345,25.0186005153795,34,16,27
"F59874","F59896","Perch",500,1945,4552,0.455538855581142,19.5045254028721,34,16,21
"F59857","F59896","Perch",497,4018,11013,0.47730926566711,17.1796855671279,32,19,22
"F59879","F59895","Perch",490,3217,2452,0.698316215890297,19.783558769861,33,17,23
"F59844","F59895","Perch",488,2567,4190,0.514766439752994,20.1815095984249,33,17,25
"F59747","F59897","Perch",485,2703,6686,0.859052708634499,19.397600146579,34,21,26
"F59858","F59898","Perch",481,1935,4222,1.00794999929054,16.7434965097488,34,20,28
"F59845","F59895","Perch",480,1945,2272,0.637275527106025,20.4356820759716,33,13,23
"F59868","F59897","Perch",476,2943,3434,1.05680155545103,18.9951599020623,34,16,25
"F59865","F59895","Perch",466,4449,4252,0.614239644169251,21.6350880657678,33,23,27
"F59846","F59896","Perch",463,1892,4187,0.637455216019495,20.9818683359794,33,16,22
"F59860","F59898","Perch",461,984,2357,1.59100792243409,25.1353468726335,34,9,17
"F59838","F59895","Perch",459,2046,4917,0.521923347110875,20.3291217203663,33,21,26
"F59848","F59897","Perch",444,2157,1605,0.84531424391871,23.8763784322541,34,11,20
"F59840","F59897","Perch",434,2514,5031,1.00663469417102,19.0416353229397,34,18,26
"F59878","F59898","Perch",429,3406,3147,0.771849816000372,15.2692218392416,24,12,14
"F59845","F59898","Perch",428,1540,2096,0.87992942019885,21.0734215190376,34,14,23
"F59857","F59897","Perch",419,1226,1937,0.894948942980811,20.7103877218485,34,11,22
"F59840","F59898","Perch",416,3139,4114,0.751126444116502,18.2655395036782,34,16,27
"F59849","F59896","Perch",409,1398,2299,0.60937473247306,24.1564263488075,16,12,14
"F59875","F59896","Perch",398,4584,5978,0.988622805562793,19.9740343531475,34,15,18
"F59854","F59895","Perch",395,1769,3859,0.741522641991819,21.375562172018,33,14,25
"F59854","F59896","Perch",386,2071,3855,0.646939437816172,19.0422157973982,32,15,20
"F59875","F59895","Perch",383,3568,6374,1.04639541178802,22.7315729223887,33,14,20
"F59871","F59895","Perch",377,2759,3010,1.07923844398849,20.2314754043245,33,12,24
"F59870","F59895","Perch",374,1347,2293,0.686125047292648,20.9668728708582,33,20,27
"F59857","F59895","Perch",369,1302,2728,0.81254196832787,19.3212184541134,33,14,21
"F59868","F59895","Perch",368,1689,2111,0.817333636065649,20.7149218030009,33,17,24
"F59864","F59896","Perch",365,2181,4640,0.629596009780253,19.1400750708424,34,19,23
"F59841","F59895","Perch",364,3844,2056,0.921215282769666,20.0765342206679,33,15,24
"F59839","F59894","Perch",352,1325,2215,0.517756699378874,21.9592858517932,34,15,20
"F59842","F59896","Perch",352,2674,6995,0.577988657811826,19.2857049818307,31,15,22
"F59877","F59895","Perch",345,1878,3334,0.758206235535964,22.3335733274456,33,14,19
"F59857","F59898","Perch",343,1232,1798,0.410966163611714,22.1273720368675,34,10,13
"F59862","F59896","Perch",340,1850,2604,0.542976227547883,19.8899837336877,34,19,22
"F59848","F59896","Perch",336,1986,2190,0.810804342860787,20.9214379976045,34,13,18
"F59747","F59896","Perch",327,1679,4554,0.499418622382738,18.848049706627,34,17,22
"F59877","F59898","Perch",327,2385,3361,0.829412309566459,16.8599992505453,34,17,26
"F59875","F59894","Perch",323,2241,4727,0.426493417635538,24.0112140153553,34,10,14
"F59856","F59896","Perch",322,2288,5167,0.670432174099193,18.238480406847,34,20,23
"F59860","F59897","Perch",321,2226,1934,0.818284319768584,22.5593615860848,34,13,27
"F59848","F59895","Perch",319,1815,3220,0.539508609812206,22.5103082392658,33,15,24
"F59872","F59895","Perch",313,879,1606,0.755530190597725,24.90226587538,33,17,25
"F59838","F59897","Perch",311,1187,4978,0.63884185165673,19.9941765013644,34,19,26
"F59852","F59898","Perch",311,4402,3927,0.969429561302119,20.3942510443668,30,16,21
"F59853","F59896","Perch",307,2272,1594,0.384864868362557,17.1151038358491,25,7,12
"F59877","F59894","Perch",307,1393,2111,0.869050465568832,20.7798514974447,34,13,14
"F59871","F59897","Perch",300,1438,3465,1.04817518044164,21.464180082222,34,18,25
"F59858","F59894","Perch",295,987,1786,0.367885140472273,19.9496477473061,34,12,14
