"longitude","latitude"
20.047965,63.771088
20.048043,63.771117
20.048104,63.771139
20.048222,63.771189
20.048346,63.771203
20.048472,63.771213
20.048587,63.771246
20.048676,63.771252
20.048713,63.77123
20.048724,63.771182
20.048713,63.771137
20.048606,63.771093
20.048461,63.771049
20.048292,63.771025
20.04815,63.770999
20.048059,63.770987
20.047978,63.770983
20.047922,63.771014
20.047957,63.771057
