id,species,treatment,est,se,low,high,p
F59683,Roach,Control,-0.9096077,0.31360885796999566,-1.5242698,-0.2949456,0.003726239049193922
F59684,Roach,Control,0.6442649948333288,0.09911604493321123,0.45000111647418106,0.8385288731924765,8.026237899223421e-11
F59690,Roach,Control,0.2241654,0.07916276717912625,-0.3690092,0.7793216,1.5247113770422525e-93
F59695,Roach,Control,-1.4286615,0.1313343560457189,-0.6860721070985392,-1.1712509,0.0010989202697899581
F59696,Roach,Control,1.1036112208131996,0.10278594973629823,0.9021544612133109,1.3050679804130885,6.823635935063376e-27
F59700,Roach,Control,-1.1114743,0.08795083784457255,-1.6390938,-0.213732,1.3124253885041026e-36
F59701,Roach,Control,1.331319409574752,0.14716842987183176,1.0428745873646532,1.6197642317848508,1.479900624642041e-19
F59704,Roach,Control,1.603459827078408,0.069516482216311265,1.4672100256025187,1.7397096285542972,1.0188758989656678e-117
F59705,Roach,Control,1.791370751738274,0.07500761249182637,1.6443585326879577,1.9383829707885902,4.653754478059095e-126
F59706,Roach,Control,1.8492273224535734,0.06911389304419294,1.7137665812556018,1.984688063651545,1.0449266438185542e-157
F59709,Roach,Control,-1.1669039,0.24256947351670813,-1.6423313,-0.3085236,0.491411062437882
F59710,Roach,Control,1.7034679840116822,0.06957388799021255,1.5671056692864418,1.8398302987369226,2.171158451134123e-132
F59713,Roach,Control,-0.9818748,0.07962915992282414,-1.3258046000000001,-0.3379451,9.835187839123677e-137
F59719,Roach,Exposed,0.7926914935275049,0.12735221856716816,0.5430857317845822,1.0422972552704275,4.833940142643585e-10
F59725,Roach,Exposed,1.1595398062939497,0.07506714002989975,1.0124109154129213,1.3066686971749781,7.940255570279109e-54
F59729,Roach,Exposed,0.3173583,0.07417648592608402,-0.371975,0.9627415,2.522924955739365e-147
F59732,Roach,Exposed,1.4475019902596613,0.07026512966212153,1.309784866752866,1.5852191137664566,2.7121049246559044e-94
F59738,Roach,Exposed,0.4315025353237452,0.11110945226280215,0.21373201054668065,0.6492730601008098,1.0292930622444182e-4
F59740,Roach,Exposed,1.3285314541019748,0.0991997172986202,1.1341035809201243,1.5229593272838253,6.689759203009372e-41
F59741,Roach,Exposed,1.2906857643553213,0.06842350688945481,1.1565781551560617,1.424793373554581,2.2896907209937107e-79
F59742,Roach,Exposed,1.6305312848285547,0.07498679731548236,1.4835598627742046,1.7775027068829048,7.831055450608244e-105
F59743,Roach,Exposed,1.7640863653729653,0.09527567532779367,1.5773494731277582,1.9508232576181723,1.545628425349678e-76
F59744,Roach,Exposed,1.7055999551797196,0.08596209619117398,1.5371173426094509,1.8740825677499884,1.3101990366564466e-87
F59745,Roach,Exposed,0.2159597964126636,0.42425722847165387,-0.615569091572559,1.0474886843978863,0.6107309657375942
F59746,Roach,Exposed,-0.6920532,0.10624271156856872,-0.9002851,-0.4838213,7.322974407301292e-11
F59748,Roach,Exposed,1.0925729457028888,0.09387854577301345,0.9085743770667876,1.27657151433899,2.636613709746581e-31
