"individual","n_locations","duration_days","median_interval_hours","min_interval_hours","max_interval_hours"
"F59880",73586,35.689540325428,0.00288924276828766,0.000222167505158318,25.0316145616108
"F59881",78705,35.7061715874793,0.00287534667385949,0.000222152537769741,8.98128651751412
"F59882",63611,35.7109590868873,0.00296553916401333,0.000222049686643812,15.085500131117
"F59883",79283,35.7151561820148,0.00290999097956551,0.000222063925531175,10.7512374977933
"F59884",68560,35.7087606387613,0.00294437527656555,0.000222152802679274,33.4271877594127
"F59885",95461,35.6963301550238,0.00292389320002662,0.000222175783581204,8.08571414669355
