"individual_ID","species","n_days","mean_daily_distance","sd_daily_distance","median_daily_distance","mean_speed","sd_speed","first_observation","last_observation","potential_mortality_date","movement_vs_gps_noise","gps_noise_threshold","mortality_threshold"
"F59682","Perch",11,579.182784117292,287.200198650203,522.456122563299,75.5768658080295,NA,2022-09-25,2022-10-05,NA,NA,52.751023255909,102.586616371236
"F59683","Roach",11,903.51401551936,993.217898640591,349.625722685498,51.8967892284309,NA,2022-09-25,2022-10-05,2022-09-30,1.61589932845436,78.9922320691897,201.128646071751
"F59686","Perch",14,901.814155939894,516.668070566565,920.222384940892,126.436063331757,NA,2022-09-25,2022-10-08,NA,NA,50.5085742367429,188.899616381929
"F59687","Roach",7,883.659533883577,1000.514503739,133.013660726513,95.0480371901754,NA,2022-09-25,2022-10-01,2022-09-29,1.76984782488428,52.2442751477546,132.548930082536
"F59689","Perch",19,975.935691534049,587.632752174951,938.163342794607,129.554212613524,NA,2022-09-25,2022-10-14,NA,NA,57.9246334290925,163.62530023461
"F59692","Perch",36,760.285663958485,541.026739113424,710.114272138126,140.615468655758,NA,2022-09-25,2022-10-30,2022-10-20,13.2615333851716,45.8598408196104,146.266211039391
"F59698","Perch",11,1295.74296444713,819.561270626265,943.327467729075,114.630038362816,NA,2022-09-25,2022-10-05,NA,NA,62.1650113517535,233.609878384927
"F59701","Roach",31,1788.01891475503,1264.72131188674,1515.45728675046,131.101203607418,NA,2022-09-25,2022-10-30,2022-10-23,0.0770977833683049,66.7294731033084,378.131442174739
"F59709","Roach",11,1751.22304223937,894.551456399223,1402.7242637977,142.949832391696,NA,2022-09-25,2022-10-05,NA,NA,66.5313494117281,181.410623824333
"F59712","Perch",34,643.861794393178,400.998402109385,543.207163753292,71.7809603313981,NA,2022-09-25,2022-10-28,NA,NA,53.0364746854353,98.2476603636856
"F59719","Roach",36,1438.67221400062,926.979566512842,1505.37906696218,111.874376657829,NA,2022-09-25,2022-10-30,2022-10-23,1.2170912875204,62.1629802302875,290.467929953765
"F59720","Perch",11,1397.50038232397,621.765215307529,1640.31753902817,119.581946877593,NA,2022-09-25,2022-10-05,NA,NA,59.4171501106602,232.629772332065
"F59729","Roach",34,1818.2859405607,1231.64880867672,1973.67884636493,118.737507114369,NA,2022-09-25,2022-10-30,2022-10-24,0.589813176678742,71.4297268814108,412.989692344146
"F59731","Roach",10,1208.93299870444,424.581605989479,1272.59545309415,135.76171631087,NA,2022-09-25,2022-10-04,NA,NA,55.6242977483761,178.505090818783
"F59735","Perch",11,1011.9285854187,320.572307195369,1049.52131567178,123.972588759616,NA,2022-09-25,2022-10-05,NA,NA,48.8823959760939,174.145304114626
"F59738","Roach",36,2866.6299117392,1710.59630741387,2630.68846744108,189.357363405754,NA,2022-09-25,2022-10-30,NA,NA,73.0890818719793,596.661733101685
"F59742","Roach",36,3679.32956459637,2159.91517606976,3109.42676854063,233.940157090236,NA,2022-09-25,2022-10-30,NA,NA,78.7207838220349,393.680147829629
"F59745","Roach",12,562.211691856266,814.369327437453,68.7429011760583,44.7645013450281,NA,2022-09-25,2022-10-07,2022-09-29,1.03322441296409,46.8235829114632,136.633985417104
