ID,Latitude,Longitude,X
461578,"63°46'15.69153""N","20°02'53.07512""E",86.077
461575,"63°46'16.03794""N","20°02'53.35946""E",85.9
461573,"63°46'15.84982""N","20°02'53.97750""E",85.885
461369,"63°46'16.13707""N","20°02'55.07479""E",85.583
461862,"63°46'16.24775""N","20°02'54.40345""E",85.65
habitat1,"63°46'16.03072""N","20°02'54.16995""E",86.361
habitat2,"63°46'15.93216""N","20°02'53.48064""E",86.487
ref,"63°46'16.25730""N","20°02'54.19700""E",86.754
